#20        /15000 episodes , avg train score : -7.8, test score: 0.2 n_buffer : 1401
#40        /15000 episodes , avg train score : -11.6, test score: -2.0 n_buffer : 3177
#60        /15000 episodes , avg train score : -2.4, test score: -2.0 n_buffer : 5177
/home/vivianchen/Desktop/workspace/ma_gym_dataset/scripts/maddpg.py:35: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525493953/work/torch/csrc/utils/tensor_new.cpp:230.)
  torch.tensor(a_lst, dtype=torch.float), \
#4740      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4760      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4780      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4800      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4820      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4840      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4860      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4880      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4900      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4920      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4940      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4960      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4980      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5000      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5020      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5040      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5060      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5080      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5100      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5120      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5140      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5160      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5180      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5200      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
